tranche,file,sha256,bytes,pages,source,origin,level,result,code,ms,out_bytes,verified
pdfjs,annotation-square-circle-without-appearance.pdf,d0a98bb14150b1bc2bc028876198098c99420ea10d30d43b4f9c5cb36bb023a7,16007,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle-without-appearance.pdf,2b,converted,,12,26098,pass
pdfjs,annotation-square-circle.pdf,88ed9ed813c3585b3098b9f4eef5107426f7829044117cd87f77bdc38a8e3f72,88740,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle.pdf,2b,converted,,21,101535,
pdfjs,annotation-squiggly-without-appearance.pdf,771698679397da9423bcb26e641c8cba173f00dc54f60656898143403e2bfbdd,15589,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly-without-appearance.pdf,2b,converted,,16,26100,
pdfjs,annotation-squiggly.pdf,95a2af9d01c2e532711a1483d58a258e469f3ff0e7dd1c2ae45c70bd8f9bb6e8,93644,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly.pdf,2b,converted,,19,106230,
pdfjs,annotation-stamp.pdf,76d566c092c23ccbec4bb488c40dc6daec8a381cb5386452b186728652436704,88903,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-stamp.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-stamp.pdf,2b,converted,,20,101695,
pdfjs,annotation-strikeout-without-appearance.pdf,9a99e1469ad4e285381016df440fada4d94b9384d051760b145fd63b794943a8,15753,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout-without-appearance.pdf,2b,converted,,17,25706,
pdfjs,annotation-strikeout.pdf,ca7225dbdc6f8a26814cf0d67f5c509589e2cc09ace6bdb04a375a266db5b708,91804,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout.pdf,2b,converted,,18,104460,
pdfjs,annotation-text-widget.pdf,9f091ceb368ad0406094efaa6c50d5033735ee52f383e0973dc53a7467089d7c,93171,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-widget.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-widget.pdf,2b,converted,,21,83686,
pdfjs,annotation-text-without-popup.pdf,2e0c788c795ab08178c12d26f73bebb6e18455a885568005770e8b6b947c4ceb,24281,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-without-popup.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-without-popup.pdf,2b,converted,,14,32925,
pdfjs,annotation-tx.pdf,c7be52654eaede8a9f33757168957f938f56e73fcd4c53539db5672dee426208,11672,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx.pdf,2b,converted,,11,16876,
pdfjs,annotation-tx2.pdf,9612df43f8c48b574ddc7a81c0781b864235f7ff328dc9b9e646b924a8706650,21285,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx2.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx2.pdf,2b,converted,,23,139277,pass
pdfjs,annotation-tx3.pdf,15e3ac008cc848e593474aa312a9ef1fbecad1f69b4580361ffd2d334575bb91,31642,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx3.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx3.pdf,2b,converted,,26,139332,
pdfjs,annotation-underline-without-appearance.pdf,3a88f23b262ff72e613aecbdd75c2aa76bde7a5e84eef1acac04d355397876b6,15304,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline-without-appearance.pdf,2b,converted,,18,25229,
pdfjs,annotation-underline.pdf,ef04b7049d5cab49c702887c423f20cfecf76d36905772209cc6781425d8f671,92151,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline.pdf,2b,converted,,31,103674,
pdfjs,annotation_hidden_noview.pdf,97fd9418a5e24d326e66734462de0db215d40a6dd0e0734e12924fa364e5b390,12114,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_noview.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_noview.pdf,2b,converted,,33,258507,
pdfjs,annotation_hidden_print.pdf,d084450dfbb7d5c53593ed8f0a005553bd0ae797e34b3a1c8c00c7eec2fc5a9d,6539,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_print.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_print.pdf,2b,converted,,14,13606,
pdfjs,arial_unicode_ab_cidfont.pdf,049a4330710d8470896061acf7ee486735e94cef2769f6cc13fec3cb13bb65aa,13110,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_ab_cidfont.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_ab_cidfont.pdf,2b,converted,,19,23591,
pdfjs,arial_unicode_en_cidfont.pdf,1c4a08108d8074f543c04e9b2ea2b93a842e2b29eb05ee9d99766f430fd365ab,15779,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_en_cidfont.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_en_cidfont.pdf,2b,converted,,17,26253,
pdfjs,asciihexdecode.pdf,17cc92aa58ec48f75b01c6b6e7f8c8bade0a36f7295d0f833a16bafae854dc79,743,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/asciihexdecode.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/asciihexdecode.pdf,2b,converted,,20,134256,
pdfjs,attachment.pdf,9acec9f83f1557183c83a87111b85141e657849ac2aa92864ffd63cc91572379,15299,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/attachment.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/attachment.pdf,2b,converted,,10,25699,
pdfjs,auth-event-ef-open.pdf,144f617db7503a4d701d6383700add3254cb6a686741dd8f59b1284a82aca8ae,2738,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/auth-event-ef-open.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/auth-event-ef-open.pdf,2b,rejected,PASSWORD_REQUIRED,17,0,
pdfjs,autoprint.pdf,1b6bee31ed8b88ec747c24308f9bd6b464043e6446c485a754507e7eeda92e90,9138,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/autoprint.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/autoprint.pdf,2b,converted,,12,12407,pass
pdfjs,bad-PageLabels.pdf,eff0ee7d1cf2e1a7ccfb25a8fc4c2bbea0ec23c838b61a199a57dbb732ddeaad,798,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bad-PageLabels.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bad-PageLabels.pdf,2b,converted,,22,141882,
pdfjs,basicapi.pdf,925853d98d67d5dae7473c635f932958e1695ce1029d23b2ecd2531cb65f1f14,105779,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/basicapi.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/basicapi.pdf,2b,converted,,65,612877,
pdfjs,bigboundingbox.pdf,6cd3d57b85891021af2de75ac304a6efc2894793dab7594968b0b5efcd1d0013,76044,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bigboundingbox.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bigboundingbox.pdf,2b,converted,,25,62391,
