tranche,file,sha256,bytes,source,origin
pdfjs,attachment.pdf,9acec9f83f1557183c83a87111b85141e657849ac2aa92864ffd63cc91572379,15299,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/attachment.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/attachment.pdf
pdfjs,auth-event-ef-open.pdf,144f617db7503a4d701d6383700add3254cb6a686741dd8f59b1284a82aca8ae,2738,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/auth-event-ef-open.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/auth-event-ef-open.pdf
pdfjs,autoprint.pdf,1b6bee31ed8b88ec747c24308f9bd6b464043e6446c485a754507e7eeda92e90,9138,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/autoprint.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/autoprint.pdf
pdfjs,bad-PageLabels.pdf,eff0ee7d1cf2e1a7ccfb25a8fc4c2bbea0ec23c838b61a199a57dbb732ddeaad,798,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bad-PageLabels.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bad-PageLabels.pdf
pdfjs,basicapi.pdf,925853d98d67d5dae7473c635f932958e1695ce1029d23b2ecd2531cb65f1f14,105779,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/basicapi.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/basicapi.pdf
pdfjs,bigboundingbox.pdf,6cd3d57b85891021af2de75ac304a6efc2894793dab7594968b0b5efcd1d0013,76044,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bigboundingbox.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bigboundingbox.pdf
pdfjs,bitmap-composite-and-xnor-halftone.pdf,a88d42b10bd7c860abd3bf16432378d23a9fcf267a7008be047b608e1a332f4e,1537,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor-halftone.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor-halftone.pdf
pdfjs,bitmap-composite-and-xnor-refine.pdf,c2046037b2617ffdde875d523bf56a428339d7a6f753c25f4f957317bc9ecc9a,1891,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor-refine.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor-refine.pdf
pdfjs,bitmap-composite-and-xnor-text.pdf,aba6249b83158532ad87ccf47ba69737c9ba2b787c2f815767d239e910564235,1243,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor-text.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor-text.pdf
pdfjs,bitmap-composite-and-xnor.pdf,4432b73b7efcae8eb960b409de37af218f366bd548709d74773dae4ac7c257ef,1314,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-and-xnor.pdf
pdfjs,bitmap-composite-or-xor-replace-halftone.pdf,3ffb92c8a77140d06ea628514a1d44c116a5067d40e3cd3887455b8d40918202,1849,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace-halftone.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace-halftone.pdf
pdfjs,bitmap-composite-or-xor-replace-refine.pdf,cc9510f5b113c8a2053fbc3891e0c8275bf0f59e1ca44522832e77d6a26cc145,2343,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace-refine.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace-refine.pdf
pdfjs,bitmap-composite-or-xor-replace-text.pdf,f4fb077e7e541f01ce21983f7822bd2b43d98f8554bf9cb421a03c7daa6442a5,1578,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace-text.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace-text.pdf
pdfjs,bitmap-composite-or-xor-replace.pdf,ba8dfa7f3879d2c851287769c0503cf84441e871a93e312e46253e9238dca737,1630,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-composite-or-xor-replace.pdf
pdfjs,bitmap-customat-tpgdon.pdf,91b35c6963b8135dde1f509b424d3cfe5b02d9cc023c802c412916c6b76cc938,1057,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-customat-tpgdon.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-customat-tpgdon.pdf
pdfjs,bitmap-customat.pdf,9be6eb11af2e4078eb209cbf680bb415960f2275f7e120660d22e7edc09e2ede,1051,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-customat.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-customat.pdf
pdfjs,bitmap-halftone-10bpp-mmr.pdf,c164623c7745aa431f59fa4a088e5adf3ff640687469576c64c5b044102ddae0,1710,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-10bpp-mmr.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-10bpp-mmr.pdf
pdfjs,bitmap-halftone-10bpp.pdf,8a4577a1cdbdf342e2a61e18a239423452355c13733075af76fcd008f12eac5f,1311,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-10bpp.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-10bpp.pdf
pdfjs,bitmap-halftone-composite.pdf,e52ea26a9cadf0a1fbcd58c3ae411cf2bf14b05f172966283a6254296c4825a0,1599,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-composite.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-composite.pdf
pdfjs,bitmap-halftone-grid.pdf,5ba3f0ca836c6df256415b2ddd61286b819f5b6a3f5598e146601839302c0158,1622,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-grid.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/bitmap-halftone-grid.pdf
